show_id,title,country,release_year,duration(min),listed_in
80125979,#realityhigh,United States,2017,99,Comedies
80059432,SMOSH: The Movie,United States,2015,83,Comedies
80243600,Between Two Ferns: The Movie,United States,2019,83,Comedies
80987075,Class Rank,United States,2018,103,Comedies
80088910,Natural Born Pranksters,United States,2016,91,Comedies
80017240,Monty Python Live (Mostly): One Down Five to Go,United Kingdom,2014,137,Comedies
80075476,Mascots,United States,2016,95,Comedies
81053961,Undercover Brother 2,United States,2019,85,Comedies
81074542,Christmas Survival,United Kingdom,2018,101,Comedies
80106793,Handsome: A Netflix Mystery Movie,United States,2017,81,Comedies
81085319,PATRICK (2019),United Kingdom,2019,94,Comedies
81036199,Still LAUGH-IN: The Stars Celebrate,United States,2019,61,Comedies
80194950,Wine Country,United States,2019,104,Comedies
70202151,I Don't Know How She Does It,United States,2011,89,Comedies
80207473,Dead in a Week (Or Your Money Back),United Kingdom,2018,90,Comedies
80097530,Blue Mountain State: The Rise of Thadland,United States,2016,90,Comedies
80092404,Hot Bot,United States,2016,93,Comedies
80242619,Murder Mystery,United States,2019,98,Comedies
81015524,Kath & Kimderella,Australia,2012,86,Comedies
80107087,Internet Famous,United States,2016,87,Comedies
80185070,Father of the Year,United States,2018,95,Comedies
81003981,Frankenstein’s Monster’s Monster Frankenstein,United States,2019,32,Comedies
81060038,Swiped,United States,2018,94,Comedies
80107084,A Futile and Stupid Gesture,United States,2018,102,Comedies
80214777,Where's the Money,United States,2017,86,Comedies
80100936,Take the 10,United States,2017,80,Comedies
80158485,Step Sisters,United States,2018,108,Comedies
70308046,Bad Grandpa .5,United States,2014,87,Comedies
80108158,Breaking the Bank,United Kingdom,2014,105,Comedies
70128701,Dinner for Schmucks,United States,2010,115,Comedies
81103093,Fall Girls,United States,2019,80,Comedies
80190130,Big Bear,United States,2017,87,Comedies
81109078,How High 2,United States,2019,89,Comedies
80108691,Total Frat Movie,United States,2016,94,Comedies
80188902,The Bad Education Movie,United Kingdom,2015,87,Comedies
80139397,The Trip to Spain,United Kingdom,2016,108,Comedies
80193491,Bring It On: Worldwide Showdown,United States,2017,95,Comedies
81020839,Party Monster: Scratching the Surface,United States,2018,33,Comedies
81092330,For Love or Money,United Kingdom,2019,95,Comedies
80231419,Sextuplets,United States,2019,100,Comedies
80039439,The Outcasts,United States,2017,94,Comedies
80175147,The Package,United States,2018,95,Comedies
70222860,Movie 43,United States,2013,94,Comedies
80183328,The Week Of,United States,2018,117,Comedies
70241596,Mac & Devin Go to High School,United States,2012,76,Comedies
70222859,21 & Over,United States,2013,93,Comedies
80126569,Sandy Wexler,United States,2017,131,Comedies
80142474,Frat Star,United States,2017,85,Comedies
80209751,The Trap,United States,2017,91,Comedies
80203094,City of Joy,United States,2018,77,Documentaries
80095641,Elstree 1976,United Kingdom,2015,102,Documentaries
80182115,Long Shot,United States,2017,40,Documentaries
81001809,Lessons from a School Shooting: Notes from Dunblane,United States,2018,24,Documentaries
80173625,Restless Creature: Wendy Whelan,United States,2016,94,Documentaries
80005444,Print the Legend,United States,2014,100,Documentaries
80198423,Teach Us All,United States,2017,81,Documentaries
80097321,Audrie & Daisy,United States,2016,99,Documentaries
80993149,Maynard,United States,2017,100,Documentaries
80045805,Raiders!: The Story of the Greatest Fan Film Ever Made,United States,2015,93,Documentaries
80101827,The White Helmets,United Kingdom,2016,41,Documentaries
80033772,Cowspiracy: The Sustainability Secret,United States,2014,90,Documentaries
80192834,Reversing Roe,United States,2018,100,Documentaries
80198046,Ghost of the Mountains,United States,2017,78,Documentaries
80106307,Extremis,United States,2016,25,Documentaries
80192445,Heroin(e),United States,2017,40,Documentaries
81031008,For the Birds,United States,2018,93,Documentaries
80097438,Holy Hell,United States,2016,103,Documentaries
80118888,Saudi Arabia Uncovered,United Kingdom,2016,52,Documentaries
80091741,13TH,United States,2016,101,Documentaries
80145699,The B-Side: Elsa Dorfman's Portrait Photography,United States,2016,76,Documentaries
70185045,Forks Over Knives,United States,2011,96,Documentaries
80117454,Joan Didion: The Center Will Not Hold,United States,2017,98,Documentaries
81018183,Ronnie Coleman: The King,United States,2018,93,Documentaries
80219941,Meet the Trumps: From Immigrant to President,United Kingdom,2017,48,Documentaries
70299286,E-Team,United States,2014,90,Documentaries
80186796,Dancing with the Birds,United States,2019,52,Documentaries
80131240,God Knows Where I Am,United States,2016,103,Documentaries
70167128,Miss Representation,United States,2011,90,Documentaries
80118101,One of Us,United States,2017,95,Documentaries
81191195,Salam - The First ****** Nobel Laureate,United States,2018,76,Documentaries
80236470,Monty Python: The Meaning of Live,United Kingdom,2014,94,Documentaries
80988048,The Meaning of Monty Python,United States,2013,60,Documentaries
80214706,Tell Me Who I Am,United Kingdom,2019,86,Documentaries
81081656,Ghosts of Sugar Land,United States,2019,22,Documentaries
81187847,League of Legends Origins,United States,2019,78,Documentaries
80097472,Sky Ladder: The Art of Cai Guo-Qiang,United States,2016,80,Documentaries
80158844,Kingdom of Us,United Kingdom,2017,110,Documentaries
80048200,Fishtail,United States,2015,61,Documentaries
80183783,Let It Fall: Los Angeles 1982-1992,United States,2017,144,Documentaries
80114460,Minimalism: A Documentary About the Important Things,United States,2016,78,Documentaries
80117533,The Ivory Game,Austria,2016,112,Documentaries
80147529,Harold and Lillian: A Hollywood Love Story,United States,2015,95,Documentaries
80126449,Cuba and the Cameraman,United States,2017,114,Documentaries
80080109,De Palma,United States,2015,110,Documentaries
80127558,Saving Capitalism,United States,2017,73,Documentaries
80081990,Dream/Killer,United States,2015,109,Documentaries
80124722,They’ll Love Me When I’m Dead,United States,2018,98,Documentaries
80029708,Sour Grapes,United Kingdom,2016,85,Documentaries
81171862,To Be of Service,United States,2019,88,Documentaries
80216003,Apache Warrior,United States,2017,89,Documentaries
